NAME,PLAYER2,RUNS,MAT,INNS,NO,HS,AVG,BF,SR,100,50,Fours,Sixes,TYPE,COST₹_LAKH
Ravi Bishnoi,LSG,4,14,3,0,2,1.33,6,66.66,0,0,0,0,BOW,400.0
Mohit Sharma,GT,4,12,3,1,4,2.00,15,26.66,0,0,0,0,BOW,50.0
Anukul Roy,KKR,3,4,1,1,3*,-,3,100.0,0,0,0,0,AR,20.0
Kumar Kushagra,DC,3,4,3,0,2,1.00,7,42.85,0,0,0,0,BAT/WK,720.0
Mukesh Kumar,DC,3,10,2,1,3,3.00,9,33.33,0,0,0,0,BOW,550.0
Ricky Bhui,DC,3,2,2,0,3,1.50,9,33.33,0,0,0,0,BAT/WK,20.0
Mohsin Khan,LSG,2,9,1,0,2,2.00,1,200.0,0,0,0,0,BOW,20.0
Anshul Kamboj,MI,2,3,1,1,2*,-,2,100.0,0,0,0,0,AR,20.0
Akash Deep,RCB,2,1,1,1,2*,-,2,100.0,0,0,0,0,BOW,20.0
Shivam Singh,PBKS,2,1,1,1,2*,-,3,66.66,0,0,0,0,AR,20.0
Vaibhav Arora,KKR,1,10,2,2,1*,-,1,100.0,0,0,0,0,BOW,60.0
Shams Mulani,MI,1,2,1,1,1*,-,1,100.0,0,0,0,0,AR,20.0
Manav Suthar,GT,1,1,1,0,1,1.00,2,50.0,0,0,0,0,BOW,20.0
Vyshak Vijaykumar,RCB,1,4,2,1,1*,1.00,3,33.33,0,0,0,0,BOW,20.0
Ishant Sharma,DC,1,9,2,2,1*,-,7,14.28,0,0,0,0,BOW,50.0
